Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Steelseries Rival 600 Gaming mouse - Garansi,Goodgamingshop,Rp680.000,40+,5,https://www.tokopedia.com/goodgamingshop/steelseries-rival-600-gaming-mouse-garansi-5da98?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Wow, RGB lightnya bagus banget... Steelseries emang gear istimewa, responsif & kuat... Barang original, Recommended seller... || barang cepat sampai dan sesuai, recomended seller || pelayanan cepat dan responsif menjawab pertanyaan customer... Sukses selalu ya Tokonya"
HyperX Pulsefire Haste 2 - Wireless Gaming Mouse - Hitam,Goodgamingshop,Rp1.412.000,11,5,https://www.tokopedia.com/goodgamingshop/hyperx-pulsefire-haste-2-wireless-gaming-mouse-hitam-70c42?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"seller fast response dan ramah, mouse nya original dan cocok gripnya dengan tanganku yang lumayan panjang, top seller👍"
Razer Cobra - Lightweight Wired Gaming Mouse RGB,Goodgamingshop,Rp599.000,30+,5,https://www.tokopedia.com/goodgamingshop/razer-cobra-lightweight-wired-gaming-mouse-rgb?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"pengganti deathadder elite (dulu beli di mari juga) yg udah mau 5 taon, udh double click dan click kanan susah wkwk so far feeling click mousenya enak, dan cobra lebih k... || barang mendarat dengan selamat , pengiriman cepat dan barang sangat bagus , beroprasi dengan normal !!! terima kasih goodgamingshop || barang mantep, packing aman, respon seller satset."
Lamzu Thorn Wireless Superlight Gaming Mouse - White 1K,Goodgamingshop,Rp1.259.000,30+,5,https://www.tokopedia.com/goodgamingshop/lamzu-thorn-wireless-superlight-gaming-mouse-white-1k-64159?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barang tiba dengan aman. Rasanya next level bgt dibanding mouse bawaan laptop biasa. Semoga awet || Pool 4k nya kadang putus, gak tau bug atau defect. Pas buat palm grip, agak ergo tapi gak terlalu. Semoga awet || Review sedikit. Sudah 6 tahun pakai Rival 600 yg bobotnya 100+ gram. Pindah ke Thorn jauh banget di 52g jadi berasa bedanya. Bentuk sangat nyaman utk tangan saya di 19cm..."
HyperX Pulsefire Haste 2 - Gaming Mouse - Hitam,Goodgamingshop,Rp760.000,18,5,https://www.tokopedia.com/goodgamingshop/hyperx-pulsefire-haste-2-gaming-mouse-hitam-e4d28?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"very comfortable mouse, button nya cukup enak, scroll wheel nya juga, tapi kabel nya agak takut cepet rusak soalnya kabel nya kaya yng lemes, tapi sangat enteng, trs kera... || Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. polling rate 8000hz smooth banget upgrade dari g102 sangat puas"
Logitech G Pro X Superlight - Wireless Gaming Mouse - Putih,Goodgamingshop,Rp2.049.000,500+,5,https://www.tokopedia.com/goodgamingshop/logitech-g-pro-x-superlight-wireless-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Rexus Mouse Gaming Wireless SHAGA RX-130 - Hitam,Goodgamingshop,Rp395.000,100+,5,https://www.tokopedia.com/goodgamingshop/rexus-mouse-gaming-wireless-shaga-rx-130-hitam-fa8e7?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barangnya bagus gaada kekurangan, pengiriman juga oke dan packing aman. overall oke || barang original, berfungsi dengan baik, desainnya keren seller fast respon, ramah || paket diterima dengan aman, tidak ada cacat, mouse berfungsi dengan baik, untuk gaming sehari hari cukup lah, software dan makro sangat membantu, thankyou"
Pulsar X2H MINI Wireless Gaming Mouse - Red,Goodgamingshop,Rp1.609.000,30+,5,https://www.tokopedia.com/goodgamingshop/pulsar-x2h-mini-wireless-gaming-mouse-red-c940a?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Proses pesanan cepat, packingan aman. yg versi mini ternyata cukup kecil (sebelum nya pake xlite v2) jd mgkn bakal butuh adaptasi lg. tp so far so good 👍🏼 || wuenakk || Goated"
Press PLay FIREFLY Micro Wireless Gaming Mouse by Press Play - Gaming Mouse,Goodgamingshop,Rp289.000,3,5,https://www.tokopedia.com/goodgamingshop/press-play-firefly-micro-wireless-gaming-mouse-by-press-play-gaming-mouse-1730955627928061095?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Razer DeathAdder V2 X HyperSpeed Wireless - Gaming Mouse,Goodgamingshop,Rp588.000,100+,4.9,https://www.tokopedia.com/goodgamingshop/razer-deathadder-v2-x-hyperspeed-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Manteb barang ori dan seller fast response || cepat sampai, barang mantul poll deh , garansi resmi , barang segel , kotak dus juga tidak penyok, barang sudah di test dan sangat premium, top markotop dehh pokoknya || Paket sudah sampai di tujuan dan diterima aman… Ditest mousnya berfungsi dengan baik dan lancar baik pakai dongle maupun bluetoothnya… Thanks 👍🏻"
