Nama,Harga,Rating,Link,Komentar
"MSI CREATOR PS321QR MONITOR 32"" WQHD 1440p, 165Hz, IPS",Rp15.150.000,-,https://www.tokopedia.com/goodgamingshop/msi-creator-ps321qr-monitor-32-wqhd-1440p-165hz-ips?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Acer Monitor VG270 M3 27 inch Nitro 180Hz,Rp3.250.000,-,https://www.tokopedia.com/goodgamingshop/acer-monitor-vg270-m3-27-inch-nitro-180hz?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MONITOR LED LG 19M38, MONITOR LG 18.5 INCI PORT VGA GARANSI RESMI",Rp1.450.000,-,https://www.tokopedia.com/goodgamingshop/monitor-led-lg-19m38-monitor-lg-18-5-inci-port-vga-garansi-resmi?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
ASUS ProArt Display PA34VC Curved Professional Monitor - 100% sRGB,Rp20.736.000,-,https://www.tokopedia.com/goodgamingshop/asus-proart-display-pa34vc-curved-professional-monitor-100-srgb?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Acer Nitro VG272U_W2 VG272UW2 - 2K QHD IPS 240Hz,Rp4.825.000,5,https://www.tokopedia.com/goodgamingshop/acer-nitro-vg272u-w2-vg272uw2-2k-qhd-ips-240hz?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"SAMSUNG 25"" S25BG400 Odyssey G4 FHD IPS Gaming Monitor 240Hz - Gaming Monitor",Rp3.699.000,-,https://www.tokopedia.com/goodgamingshop/samsung-25-s25bg400-odyssey-g4-fhd-ips-gaming-monitor-240hz-gaming-monitor-1730967674318390439?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS ProArt Display PA247CV 23.8"" IPS Professional - Gaming Monitor",Rp6.300.000,-,https://www.tokopedia.com/goodgamingshop/asus-proart-display-pa247cv-23-8-ips-professional-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MONITOR LED ACER KA272 27"" IPS FHD Edge to Edge Frameless 1ms 75Hz",Rp2.725.000,-,https://www.tokopedia.com/goodgamingshop/monitor-led-acer-ka272-27-ips-fhd-edge-to-edge-frameless-1ms-75hz?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI MAG ARTYMIS 242C [1080p, 165Hz] - Gaming Monitor",Rp3.980.000,5,https://www.tokopedia.com/goodgamingshop/msi-mag-artymis-242c-1080p-165hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
ACER NITRO XV242YP Ergonomic Stand - Gaming Monitor,Rp3.685.000,-,https://www.tokopedia.com/goodgamingshop/acer-nitro-xv242yp-ergonomic-stand-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Cooler Master GM27-FFS - Gaming Monitor,Rp3.399.000,5,https://www.tokopedia.com/goodgamingshop/cooler-master-gm27-ffs-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"AOC 27G4E 27"" Fast IPS Gaming Monitor - Monitor G27G4E",Rp2.379.000,4.8,https://www.tokopedia.com/goodgamingshop/aoc-27g4e-27-fast-ips-gaming-monitor-monitor-g27g4e-c791a?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barang bagus, berfungsi normal dan memuaskan. Pengiriman aman dan sampai di tujuan dengan grab instant. Good job 👍 || sampai dengan aman, keren banget pokoknya, cuma bublewrapnya sedikit tipis ajaa sii, but, overall bagus banget || Good"
MSI Pro MP241x 23.8” Eye Care 75Hz Full HD 1080p - Monitor,Rp2.049.000,-,https://www.tokopedia.com/goodgamingshop/msi-pro-mp241x-23-8-eye-care-75hz-full-hd-1080p-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"MSI MAG ARTYMIS 324CP [1080p, 165Hz] - Gaming Monitor",Rp7.549.000,-,https://www.tokopedia.com/goodgamingshop/msi-mag-artymis-324cp-1080p-165hz-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"Asus TUF Gaming VG259QR Gaming Monitor - 24.5"" Full HD, 165Hz, G-SYNC",Rp4.059.000,5,https://www.tokopedia.com/goodgamingshop/asus-tuf-gaming-vg259qr-gaming-monitor-24-5-full-hd-165hz-g-sync?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantul bro...seller fast respon n asik, barang sesuai dg pesanan || pengiriman cepat packing rapi || enak banget buat ngegame smooth, built quality mantab.."
ASUS ROG Swift PG279QM 27 Inch IPS 1440p 240Hz - Gaming Monitor,Rp18.177.000,-,https://www.tokopedia.com/goodgamingshop/asus-rog-swift-pg279qm-27-inch-ips-1440p-240hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"AOC 24V2Q Low Blue Mode 23.8""/FHD/IPS/75Hz/5ms LED - Gaming Monitor",Rp2.500.000,-,https://www.tokopedia.com/goodgamingshop/aoc-24v2q-low-blue-mode-23-8-fhd-ips-75hz-5ms-led-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"MSI MPG ARTYMIS 343CQR [1440p, 165Hz] - Gaming Monitor",Rp13.610.000,-,https://www.tokopedia.com/goodgamingshop/msi-mpg-artymis-343cqr-1440p-165hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Samsung 27"" Odyssey G5 165Hz 1ms QHD Curved FreeSync - Gaming Monitor",Rp5.499.000,5,https://www.tokopedia.com/goodgamingshop/samsung-27-odyssey-g5-165hz-1ms-qhd-curved-freesync-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
