Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Rapoo V16 RGB Ambidextrous Optical Gaming Mouse,Enter Komputer Official,Rp170.000,-,-,https://www.tokopedia.com/enterkomputer/rapoo-v16-rgb-ambidextrous-optical-gaming-mouse-1731052136980187100?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Rexus Mouse Gaming Rexus G10,Enter Komputer Official,Rp112.000,27,4.7,https://www.tokopedia.com/enterkomputer/rexus-mouse-gaming-rexus-g10?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Mantap, ukurannya pas di tangan, dan sensornya sangat responsif, ngga ada error/lag input sama sekali || Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse || Mantap"
MSI Gaming Mouse - Clutch GM11 White,Enter Komputer Official,Rp319.000,10,5,https://www.tokopedia.com/enterkomputer/msi-gaming-mouse-clutch-gm11-white?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,TOP!!!
Razer Orochi V2 - Mobile Wireless Gaming Mouse - Black,Enter Komputer Official,Rp700.000,6,5,https://www.tokopedia.com/enterkomputer/razer-orochi-v2-mobile-wireless-gaming-mouse-black?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse
Kingston HyperX Pulsefire Surge RGB Gaming Mouse,Enter Komputer Official,Rp869.000,3,5,https://www.tokopedia.com/enterkomputer/kingston-hyperx-pulsefire-surge-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Barang sudah sampai tujuan, mantap, cepat, luar biasa pokoknya 👍👍"
Altec Lansing ALGM-9525 Gaming Mouse,Enter Komputer Official,Rp100.000,50+,5,https://www.tokopedia.com/enterkomputer/altec-lansing-algm-9525-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"sipppppp... terima kasih... masih segel.. berfungsi sangat baik.. || packingannya mantaaaaaaaapppp super supeerrrr terbaiiikkk , barang juga beeuuuhh gausah diragukan lagi enterkomputer terthebest lah udaahhh fix || Mouse gaming, look mewvah, pas di gemgam, pas di kantong. oke nice"
SteelSeries Aerox 3 Onyx - Gaming Mouse,Enter Komputer Official,Rp1.150.000,5,5,https://www.tokopedia.com/enterkomputer/steelseries-aerox-3-onyx-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"mantul, mantab betul"
Razer Deathadder V3 - Ultra-lightweight Gaming Mouse,Enter Komputer Official,Rp1.101.000,2,5,https://www.tokopedia.com/enterkomputer/razer-deathadder-v3-ultra-lightweight-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Rexus Daxa Air V DX-V9 Wireless Gaming Mouse,Enter Komputer Official,Rp949.000,-,-,https://www.tokopedia.com/enterkomputer/rexus-daxa-air-v-dx-v9-wireless-gaming-mouse-1730957126838814684?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Mouse SteelSeries Rival 3 - Mouse Gaming,Enter Komputer Official,Rp650.000,100+,4.9,https://www.tokopedia.com/enterkomputer/mouse-steelseries-rival-3-mouse-gaming?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Barang sesuai pesanan dan dipacking dengan rapih || Penjual responsif, barang sesuai pesanan, packing rapi. || Sesuai pesanan, pengiriman cepat dan packing rapi"
Rexus Arka II Wireless Gaming Mouse,Enter Komputer Official,Rp314.000,30+,4.9,https://www.tokopedia.com/enterkomputer/rexus-arka-ii-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Kita coba ya, mudah2an good. Baru ini coba merk Arka. || Dari dulu betah pake rexus, mouse overall okay bngt dan nyaman. Minusnya cuma 1 respon seller lamaaaa banget bisa 1 jam sekali respon 🙏🏻 || packaging bagus"
Lamzu Maya X FNATIC Ultralight Ergonomic Wireless Gaming Mouse + 8K Dongle,Enter Komputer Official,Rp1.979.000,-,-,https://www.tokopedia.com/enterkomputer/lamzu-maya-x-fnatic-ultralight-ergonomic-wireless-gaming-mouse-8k-dongle-1730938723889022940?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
